encoder_times,encoder_accel,encoder_vel,acelerometer_times,acelerometer_accel
15435441.0,8.7,0.67,,-0.89
15438904.0,1.14,0.7,,-0.34
15442269.0,6.76,0.7,,-0.81
15445583.0,16.37,0.73,,-0.17
15448719.0,22.72,0.79,,0.05
15451631.0,12.32,0.84,,-0.4
15454408.0,8.67,0.86,,0.17
15457131.0,9.4,0.88,,0.12
15459777.0,5.12,0.91,,-1.11
15462345.0,5.66,0.94,,-1.18
15464839.0,6.04,0.96,,-0.8
15467274.0,6.54,0.99,,-1.08
15469645.0,5.91,1.01,,-0.58
15471963.0,3.65,1.02,,-1.03
15474253.0,-4.9,1.03,,-0.75
15476532.0,3.68,1.03,,-0.45
15478822.0,-12.99,1.02,,-0.78
15481142.0,9.75,1.02,,0.45
15483435.0,-6.08,1.03,,0.08
15485724.0,4.94,1.03,,-0.36
15488007.0,12.43,1.03,,-0.47
15490283.0,-3.92,1.05,,-0.71
15492528.0,-25.2,1.02,,-0.89
15494883.0,33.46,0.98,,-1.53
15497226.0,-14.58,1.03,,0.91
15499533.0,7.0,1.01,,1.5
15501861.0,-14.44,1.0,,1.14
15504230.0,1.06,0.98,,1.46
15506635.0,-14.39,0.97,,1.7
15509083.0,-6.7,0.91,,2.35
15511678.0,7.65,0.91,,2.56
15514259.0,-5.05,0.91,,1.97
15516857.0,-10.15,0.89,,3.08
15519518.0,7.12,0.88,,3.05
15522165.0,-6.28,0.89,,4.51
15524822.0,-1.49,0.87,,3.92
15527525.0,-0.73,0.86,,4.01
15530250.0,-3.48,0.85,,4.89
15533007.0,4.32,0.86,,5.04
15535736.0,3.04,0.87,,4.93
15538421.0,2.97,0.87,,4.97
15541120.0,8.59,0.88,,4.33
15543774.0,8.9,0.89,,4.6
15546398.0,9.5,0.91,,4.74
15548968.0,2.6,0.91,,5.02
15551524.0,9.55,0.94,,5.23
15554007.0,0.0,0.94,,5.26
15556500.0,0.0,0.94,,5.9
15558991.0,-5.58,0.94,,5.76
15561504.0,-9.11,0.94,,6.22
15564023.0,9.92,0.95,,6.11
15566475.0,6.18,0.97,,6.24
15568899.0,-12.48,0.93,,5.86
15571433.0,28.87,0.93,,6.05
15573896.0,14.93,1.0,,6.09
15576230.0,5.96,1.01,,5.7
15578542.0,3.45,1.01,,6.22
15580878.0,5.93,1.01,,5.29
15583187.0,19.21,1.03,,4.84
15585435.0,2.73,1.06,,5.05
15587639.0,13.04,1.08,,5.1
15589800.0,0.0,1.1,,4.88
15591947.0,-8.97,1.1,,5.28
15594084.0,6.1,1.1,,4.95
15596208.0,23.05,1.12,,4.96
15598272.0,32.05,1.17,,4.65
15600249.0,31.95,1.22,,5.08
15602146.0,14.09,1.27,,5.25
15603985.0,2.4,1.28,,5.51
15605813.0,-7.2,1.29,,4.73
15607642.0,-4.71,1.28,,4.49
15609482.0,-4.68,1.28,,4.14
15611325.0,-4.69,1.28,,3.65
15613168.0,-4.66,1.28,15437540.0,4.73
15615013.0,21.42,1.27,15440596.0,4.41
15616843.0,9.75,1.29,15443608.0,4.64
15618662.0,-14.28,1.29,15446546.0,3.95
15620498.0,-4.55,1.27,15449616.0,3.66
15622361.0,6.72,1.25,15452476.0,3.59
15624236.0,6.79,1.26,15455506.0,3.12
15626107.0,-4.59,1.27,15458464.0,3.26
15627959.0,-2.34,1.27,15461330.0,2.88
15629805.0,-18.21,1.27,15464343.0,2.56
15631673.0,-12.47,1.23,15467274.0,3.0
15633598.0,6.12,1.21,15470113.0,3.02
15635530.0,-21.38,1.21,15473110.0,2.87
15637497.0,-10.83,1.17,15476081.0,2.79
15639517.0,-24.51,1.14,15479053.0,3.06
15641607.0,-25.76,1.09,15482064.0,2.95
15643798.0,-3.6,1.02,15485041.0,2.89
15646101.0,-4.9,1.03,15488007.0,2.91
15648387.0,-8.51,1.03,15490954.0,3.33
15650685.0,-4.69,1.02,15493925.0,2.68
15653006.0,-7.86,1.0,15496771.0,2.44
15655363.0,-8.71,0.99,15499770.0,2.34
15657744.0,0.0,0.98,15502800.0,2.04
15660145.0,-5.1,0.97,15505673.0,1.55
15662577.0,-4.9,0.96,15508579.0,1.68
15665044.0,-3.81,0.95,15511420.0,1.79
15667533.0,-3.75,0.94,15515036.0,1.25
15670037.0,-6.42,0.94,15517914.0,1.53
15672552.0,14.44,0.94,15520846.0,1.71
15675030.0,0.0,0.96,15523755.0,1.42
15677482.0,-3.93,0.96,15526711.0,0.86
15679952.0,-22.0,0.93,15529706.0,2.27
15682520.0,4.95,0.9,15532734.0,1.79
15685130.0,-4.15,0.9,15535736.0,1.86
15687740.0,-2.45,0.9,15538690.0,1.77
15690362.0,-14.18,0.89,15541655.0,1.53
15693023.0,-10.71,0.86,15544566.0,1.48
15695760.0,-11.97,0.85,15547432.0,1.55
15698566.0,0.68,0.84,15550257.0,1.4
15701362.0,-21.86,0.81,15553268.0,1.31
15704302.0,13.4,0.79,15556252.0,1.0
15707222.0,0.66,0.83,15559242.0,1.13
15710044.0,-8.21,0.83,15562257.0,1.2
15712899.0,11.2,0.81,15565255.0,1.33
15715761.0,0.0,0.83,15568172.0,1.67
15718584.0,-5.21,0.83,15571182.0,1.14
15721423.0,4.29,0.81,15574134.0,1.65
15724302.0,8.28,0.82,15577157.0,-0.36
15727145.0,-6.53,0.84,15580177.0,1.54
15729964.0,-3.89,0.83,15583187.0,-0.59
15732800.0,-7.35,0.82,15586098.0,0.54
15735685.0,2.4,0.81,15588942.0,1.42
15738583.0,-1.18,0.81,15591947.0,-0.95
15741497.0,1.77,0.8,15594937.0,1.01
15744420.0,-10.75,0.8,15597868.0,-0.78
15747393.0,-4.18,0.78,15600827.0,0.19
15750433.0,-3.6,0.77,15603804.0,-0.08
15753495.0,-7.17,0.76,15606727.0,-0.5
15756643.0,-11.92,0.71,15609666.0,-0.24
15759992.0,-13.13,0.68,15612613.0,-0.35
15763528.0,-8.61,0.65,15615569.0,-1.29
15767221.0,-16.66,0.61,15618481.0,0.53
15771201.0,-15.48,0.55,15621427.0,-1.26
15775653.0,-9.71,0.5,15624426.0,0.7
15780531.0,-18.35,0.43,15627404.0,-0.74
15786420.0,-7.86,0.35,15630360.0,0.37
,,,15633211.0,-0.55
,,,15636115.0,-0.16
,,,15639517.0,-0.89
,,,15642468.0,-1.27
,,,15645411.0,-1.05
,,,15648387.0,-1.96
,,,15651378.0,-1.6
,,,15654416.0,-2.07
,,,15657265.0,-1.97
,,,15660145.0,-2.56
,,,15663067.0,-2.66
,,,15666038.0,-3.0
,,,15669034.0,-3.16
,,,15672054.0,-3.57
,,,15675030.0,-3.54
,,,15677975.0,-3.87
,,,15680963.0,-4.5
,,,15683829.0,-3.85
,,,15686692.0,-4.25
