time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007242,0.0044,0.0632,-0.0138,0.065
0.007919,0.0044,0.0632,-0.0138,0.065
0.008215,0.0044,0.0632,-0.0138,0.065
0.008500,0.0044,0.0632,-0.0138,0.065
0.008720,-0.0229,0.0632,0.0000,0.067
0.009035,-0.0229,0.0632,0.0000,0.067
0.009256,-0.0229,0.0632,0.0000,0.067
0.017432,-0.0229,0.0632,0.0000,0.067
0.018287,0.0042,0.0769,0.0002,0.077
0.037092,0.0042,0.0769,0.0002,0.077
0.037751,0.0042,0.0769,0.0002,0.077
0.038324,0.0042,0.0769,0.0002,0.077
0.038711,0.0042,0.0769,0.0002,0.077
0.053068,0.0041,0.1041,-0.0268,0.108
0.053604,0.0041,0.1041,-0.0268,0.108
0.053909,0.0041,0.1041,-0.0268,0.108
0.058975,0.0041,0.1041,-0.0268,0.108
0.062947,0.0041,0.0905,-0.0130,0.092
0.067575,0.0041,0.0905,-0.0130,0.092
0.073996,0.0041,0.0905,-0.0130,0.092
0.077355,0.0041,0.0905,-0.0130,0.092
0.082402,0.0040,0.0905,0.0008,0.091
0.087489,0.0040,0.0905,0.0008,0.091
0.092806,0.0040,0.0905,0.0008,0.091
0.097242,0.0040,0.0905,0.0008,0.091
0.102191,0.0039,0.0769,0.0010,0.077
0.108561,0.0039,0.0769,0.0010,0.077
0.112048,0.0039,0.0769,0.0010,0.077
0.117246,0.0039,0.0769,0.0010,0.077
0.125442,-0.0097,0.0770,0.0011,0.078
0.127184,-0.0097,0.0770,0.0011,0.078
0.131882,-0.0097,0.0770,0.0011,0.078
0.136662,-0.0097,0.0770,0.0011,0.078
0.141759,0.0039,0.0906,-0.0123,0.092
0.146702,0.0039,0.0906,-0.0123,0.092
0.151457,0.0039,0.0906,-0.0123,0.092
0.157787,0.0039,0.0906,-0.0123,0.092
0.161397,-0.0096,0.0770,0.0014,0.078
0.166333,-0.0096,0.0770,0.0014,0.078
0.171306,-0.0096,0.0770,0.0014,0.078
0.181560,-0.0096,0.0770,0.0014,0.078
0.182269,0.0177,0.0770,-0.0122,0.080
0.186141,0.0177,0.0770,-0.0122,0.080
0.193764,0.0177,0.0770,-0.0122,0.080
0.195717,0.0177,0.0770,-0.0122,0.080
0.200530,-0.0230,0.0770,0.0015,0.080
0.206588,-0.0230,0.0770,0.0015,0.080
0.210871,-0.0230,0.0770,0.0015,0.080
0.215638,-0.0230,0.0770,0.0015,0.080
0.220420,0.0181,0.0770,0.0014,0.079
0.225565,0.0181,0.0770,0.0014,0.079
0.230413,0.0181,0.0770,0.0014,0.079
0.235357,0.0181,0.0770,0.0014,0.079
0.241152,0.0046,0.0633,0.0148,0.065
0.245473,0.0046,0.0633,0.0148,0.065
0.250336,0.0046,0.0633,0.0148,0.065
0.257318,0.0046,0.0633,0.0148,0.065
0.260048,0.0046,0.1042,-0.0126,0.105
0.265016,0.0046,0.1042,-0.0126,0.105
0.270106,0.0046,0.1042,-0.0126,0.105
0.275173,0.0046,0.1042,-0.0126,0.105
0.280113,0.0183,0.0633,-0.0129,0.067
0.284812,0.0183,0.0633,-0.0129,0.067
0.290311,0.0183,0.0633,-0.0129,0.067
0.294747,0.0183,0.0633,-0.0129,0.067
0.299766,-0.0089,0.0905,0.0003,0.091
0.312772,-0.0089,0.0905,0.0003,0.091
0.313512,-0.0089,0.0905,0.0003,0.091
0.314534,-0.0089,0.0905,0.0003,0.091
0.319360,0.0047,0.0632,-0.0272,0.069
0.324241,0.0047,0.0632,-0.0272,0.069
0.329349,0.0047,0.0632,-0.0272,0.069
0.334241,0.0047,0.0632,-0.0272,0.069
0.340041,-0.0089,0.0904,-0.0138,0.092
0.346214,-0.0089,0.0904,-0.0138,0.092
0.349660,-0.0089,0.0904,-0.0138,0.092
0.354575,-0.0089,0.0904,-0.0138,0.092
0.359425,0.0047,0.0904,-0.0003,0.091
0.364071,0.0047,0.0904,-0.0003,0.091
0.369199,0.0047,0.0904,-0.0003,0.091
0.374679,0.0047,0.0904,-0.0003,0.091
0.379091,-0.0089,0.0904,-0.0005,0.091
0.383771,-0.0089,0.0904,-0.0005,0.091
0.392017,-0.0089,0.0904,-0.0005,0.091
0.393558,-0.0089,0.0904,-0.0005,0.091
0.398446,-0.0089,0.0768,-0.0142,0.079
0.403648,-0.0089,0.0768,-0.0142,0.079
0.408485,-0.0089,0.0768,-0.0142,0.079
0.413525,-0.0089,0.0768,-0.0142,0.079
0.418665,0.0048,0.1040,-0.0007,0.104
0.423675,0.0048,0.1040,-0.0007,0.104
0.428545,0.0048,0.1040,-0.0007,0.104
0.433121,0.0048,0.1040,-0.0007,0.104
0.440949,-0.0224,0.0768,-0.0008,0.080
0.443329,-0.0224,0.0768,-0.0008,0.080
0.448537,-0.0224,0.0768,-0.0008,0.080
0.453652,-0.0224,0.0768,-0.0008,0.080
0.464261,-0.0224,0.0768,-0.0008,0.080
0.465677,0.0050,0.0904,-0.0009,0.091
0.467676,0.0050,0.0904,-0.0009,0.091
0.477478,0.0050,0.0904,-0.0009,0.091
0.477952,0.0050,0.0904,-0.0009,0.091
0.482317,-0.0084,0.0767,-0.0010,0.077
0.490332,-0.0084,0.0767,-0.0010,0.077
0.492506,-0.0084,0.0767,-0.0010,0.077
0.497481,-0.0084,0.0767,-0.0010,0.077
0.502441,-0.0081,0.1040,-0.0282,0.108
