20:05:17:520,0,14044513,0.03,0.08,2.69,,,,,,,,,,
20:05:17:520,10,14088510,0.12,0.15,3.59,,,,,,,,,,
20:05:17:522,20,14105462,0.18,0.2,4.08,,,,,,,,,,
20:05:17:524,30,14117785,0.22,0.24,4.09,,,,,,,,,,
20:05:17:526,40,14128019,0.25,0.27,6.02,,,,,,,,,,
20:05:17:529,50,14136989,0.28,0.29,2.91,,,,,,,,,,
20:05:17:531,60,14145029,0.32,0.33,3.76,,,,,,,,,,
20:05:17:534,70,14152251,0.34,0.34,0.22,,,,,,,,,,
20:05:17:536,80,14159303,0.35,0.37,11.13,,,,,,,,,,
20:05:17:539,90,14165767,0.39,0.4,1.92,,,,,,,,,,
20:05:17:541,100,14171730,0.4,0.41,5.88,,,,,,,,,,
20:05:17:544,110,14177457,0.43,0.43,2.29,,,,,,,,,,
20:05:17:546,120,14182889,0.44,0.45,4.83,,,,,,,,,,
20:05:17:549,130,14188116,0.46,0.47,4.96,,,,20:05:17:915,Pulso,Inicial:,20,Pulso,Propulsiva:,1524
20:05:17:551,140,14193101,0.48,0.49,3.41,,,,20:05:17:916,,,,,,
20:05:17:554,150,14197967,0.49,0.5,3.5,,,,20:05:17:917,Recorrido:,36,,,,
20:05:17:556,160,14202673,0.5,0.51,0.58,,,,20:05:17:919,Velocidad,Media:,0.64,,,
20:05:17:559,170,14207325,0.51,0.52,4.43,,,,20:05:17:922,Velocidad,Propulsiva:,0.66,,,
20:05:17:561,180,14211880,0.53,0.54,3.94,,,,20:05:17:924,Velocidad,Máxima:,1.18,,,
20:05:17:564,190,14216277,0.54,0.55,3.85,,,,,,,,,,
20:05:17:566,200,14220563,0.57,0.57,3.99,,,,,,,,,,
20:05:17:569,210,14224667,0.58,0.59,2.28,,,,,,,,,,
20:05:17:571,220,14228669,0.6,0.6,1.46,,,,,,,,,,
20:05:17:574,230,14232576,0.62,0.63,4.1,,,,,,,,,,
20:05:17:576,240,14236335,0.64,0.64,0.58,,,,,,,,,,
20:05:17:579,250,14240018,0.64,0.65,4.9,,,,,,,,,,
20:05:17:582,260,14243631,0.67,0.68,3.45,,,,,,,,,,
20:05:17:586,270,14247107,0.69,0.7,3.05,,,,,,,,,,
20:05:17:587,280,14250478,0.7,0.71,7.59,,,,,,,,,,
20:05:17:589,290,14253781,0.73,0.75,14.64,,,,,,,,,,
20:05:17:592,300,14256945,0.75,0.76,8.35,,,,,,,,,,
20:05:17:594,310,14260042,0.77,0.78,7.93,,,,,,,,,,
20:05:17:597,320,14263058,0.8,0.8,7.55,,,,,,,,,,
20:05:17:599,330,14265984,0.82,0.83,5.12,,,,,,,,,,
20:05:17:602,340,14268820,0.84,0.86,14.65,,,,,,,,,,
20:05:17:604,350,14271568,0.87,0.87,2.25,,,,,,,,,,
20:05:17:607,360,14274262,0.88,0.89,6.3,,,,,,,,,,
20:05:17:609,370,14276910,0.9,0.92,19.71,,,,,,,,,,
20:05:17:612,380,14279483,0.93,0.93,0.9,,,,,,,,,,
20:05:17:615,390,14282014,0.95,0.95,1.92,,,,,,,,,,
20:05:17:617,400,14284497,0.95,0.95,-1.91,,,,,,,,,,
20:05:17:620,410,14286983,0.93,0.94,7.45,,,,,,,,,,
20:05:17:622,420,14289491,0.93,0.93,-1.84,,,,,,,,,,
20:05:17:625,430,14292004,0.94,0.94,-3.74,,,,,,,,,,
20:05:17:627,440,14294508,0.93,0.93,-2.73,,,,,,,,,,
20:05:17:630,450,14297031,0.93,0.92,-7.21,,,,,,,,,,
20:05:17:633,460,14299564,0.92,0.93,4.49,,,,,,,,,,
20:05:17:635,470,14302102,0.93,0.94,7.4,,,,,,,,,,
20:05:17:638,480,14304611,0.95,0.96,11.84,,,,,,,,,,
20:05:17:640,490,14307067,0.97,0.97,-3.06,,,,,,,,,,
20:05:17:643,500,14309498,0.97,0.96,-9.05,,,,,,,,,,
20:05:17:646,510,14311948,0.95,0.94,-6.69,,,,,,,,,,
20:05:17:648,520,14314435,0.94,0.94,-5.68,,,,,,,,,,
20:05:17:651,530,14316935,0.93,0.93,-2.7,,,,,,,,,,
20:05:17:653,540,14319477,0.92,0.91,-6.9,,,,,,,,,,
