20:10:36:301,0,13305894,0.03,0.04,0.47,,,,,,,,,,,,
20:10:36:304,10,13368665,0.03,0.01,-0.53,,,,,,,,,,,,
20:10:36:306,20,13555274,0.06,0.09,2.16,,,,,,,,,,,,
20:10:36:309,30,13585498,0.12,0.13,1.41,,,,,,,,,,,,
20:10:36:311,40,13604058,0.16,0.16,-0.56,,,,,,,,,,,,
20:10:36:314,50,13618542,0.2,0.2,0.94,,,,,,,,,,,,
20:10:36:316,60,13630082,0.23,0.24,1.63,,,,,,,,,,,,
20:10:36:319,70,13639941,0.26,0.28,4.26,,,,,,20:10:36:727,Pulso,Inicial:,40,Pulso,Propulsiva:,1614
20:10:36:321,80,13648477,0.29,0.3,3.59,,,,,,20:10:36:727,,,,,,
20:10:36:324,90,13656222,0.32,0.34,5.05,,,,,,20:10:36:728,Recorrido:,37.72,,,,
20:10:36:326,100,13663249,0.35,0.36,4.1,,,,,,20:10:36:730,Velocidad,Media:,0.66,,,
20:10:36:329,110,13669763,0.38,0.39,3.5,,,,,,20:10:36:733,Velocidad,Propulsiva:,0.69,,,
20:10:36:331,120,13675901,0.4,0.41,7.7,,,,,,20:10:36:735,Velocidad,Máxima:,1.22,,,
20:10:36:334,130,13681662,0.42,0.43,1.47,,,,,,,,,,,,
20:10:36:336,140,13687172,0.44,0.44,2.31,,,,,,,,,,,,
20:10:36:339,150,13692492,0.45,0.45,2.28,,,,,,,,,,,,
20:10:36:341,160,13697677,0.47,0.47,2.03,,,,,,,,,,,,
20:10:36:344,170,13702649,0.48,0.48,-0.25,,,,,,,,,,,,
20:10:36:346,180,13707530,0.5,0.51,6.45,,,,,,,,,,,,
20:10:36:349,190,13712183,0.52,0.53,3.07,,,,,,,,,,,,
20:10:36:351,200,13716663,0.54,0.55,4.17,,,,,,,,,,,,
20:10:36:354,210,13720973,0.56,0.57,7,,,,,,,,,,,,
20:10:36:356,220,13725102,0.59,0.6,5.63,,,,,,,,,,,,
20:10:36:359,230,13729059,0.61,0.62,4.67,,,,,,,,,,,,
20:10:36:361,240,13732896,0.63,0.63,1.97,,,,,,,,,,,,
20:10:36:364,250,13736627,0.64,0.65,5.53,,,,,,,,,,,,
20:10:36:366,260,13740240,0.67,0.67,4.77,,,,,,,,,,,,
20:10:36:369,270,13743742,0.68,0.69,5.52,,,,,,,,,,,,
20:10:36:371,280,13747156,0.7,0.71,6.36,,,,,,,,,,,,
20:10:36:374,290,13750469,0.72,0.74,14.72,,,,,,,,,,,,
20:10:36:377,300,13753663,0.75,0.71,-28.3,,,,,,,,,,,,
20:10:36:379,310,13756941,0.62,0.6,-14.68,,,,,,,,,,,,
20:10:36:382,320,13760810,0.65,0.74,66.44,,,,,,,,,,,,
20:10:36:385,330,13764105,0.89,0.95,57.98,,,,,,,,,,,,
20:10:36:387,340,13766624,1,1,4.5,,,,,,,,,,,,
20:10:36:390,350,13768982,0.98,0.95,-23.31,,,,,,,,,,,,
20:10:36:392,360,13771436,0.91,0.86,-42.37,,,,,,,,,,,,
20:10:36:395,370,13774117,0.85,0.85,7.64,,,,,,,,,,,,
20:10:36:398,380,13776872,0.9,0.92,22.46,,,,,,,,,,,,
20:10:36:400,390,13779432,0.97,1,27.24,,,,,,,,,,,,
20:10:36:403,400,13781810,1.01,0.99,-15.85,,,,,,,,,,,,
20:10:36:406,410,13784175,0.95,0.93,-21.3,,,,,,,,,,,,
20:10:36:408,420,13786699,0.89,0.89,-1.6,,,,,,,,,,,,
20:10:36:411,430,13789336,0.91,0.93,26.42,,,,,,,,,,,,
20:10:36:413,440,13791878,0.96,0.98,19.55,,,,,,,,,,,,
20:10:36:416,450,13794294,0.99,1,7.88,,,,,,,,,,,,
20:10:36:419,460,13796649,0.99,0.98,-9.66,,,,,,,,,,,,
20:10:36:421,470,13799044,0.97,0.96,-12.08,,,,,,,,,,,,
20:10:36:424,480,13801486,0.96,0.97,10.12,,,,,,,,,,,,
20:10:36:426,490,13803924,0.98,0.98,1.05,,,,,,,,,,,,
20:10:36:429,500,13806330,0.98,0.97,-8.52,,,,,,,,,,,,
20:10:36:432,510,13808736,0.96,0.95,-5.88,,,,,,,,,,,,
20:10:36:434,520,13811208,0.94,0.93,-10.01,,,,,,,,,,,,
20:10:36:437,530,13813739,0.92,0.92,-1.74,,,,,,,,,,,,
20:10:36:439,540,13816301,0.92,0.93,9.79,,,,,,,,,,,,
20:10:36:442,550,13818843,0.93,0.94,7.36,,,,,,,,,,,,
20:10:36:445,560,13821355,0.93,0.92,-15.99,,,,,,,,,,,,
20:10:36:447,570,13823916,0.88,0.87,-6.83,,,,,,,,,,,,
20:10:36:450,580,13826608,0.86,0.85,-4.98,,,,,,,,,,,,
20:10:36:452,590,13829347,0.86,0.86,-0.72,,,,,,,,,,,,
20:10:36:455,600,13832086,0.86,0.85,-5.65,,,,,,,,,,,,
20:10:36:458,610,13834841,0.84,0.84,-5.34,,,,,,,,,,,,
20:10:36:460,620,13837643,0.83,0.82,-9.49,,,,,,,,,,,,
20:10:36:463,630,13840496,0.82,0.81,-0.61,,,,,,,,,,,,
20:10:36:465,640,13843386,0.8,0.8,-1.16,,,,,,,,,,,,
20:10:36:468,650,13846324,0.81,0.8,-4.69,,,,,,,,,,,,
20:10:36:471,660,13849258,0.8,0.81,7.63,,,,,,,,,,,,
20:10:36:473,670,13852181,0.81,0.82,8.08,,,,,,,,,,,,
20:10:36:476,680,13855047,0.83,0.82,-2.54,,,,,,,,,,,,
20:10:36:478,690,13857896,0.83,0.82,-5.73,,,,,,,,,,,,
20:10:36:481,700,13860738,0.83,0.84,9.23,,,,,,,,,,,,
20:10:36:483,710,13863541,0.85,0.87,11.51,,,,,,,,,,,,
20:10:36:486,720,13866269,0.87,0.87,-2.22,,,,,,,,,,,,
20:10:36:489,730,13868975,0.86,0.85,-7.86,,,,,,,,,,,,
20:10:36:491,740,13871719,0.85,0.84,-3.42,,,,,,,,,,,,
20:10:36:494,750,13874498,0.85,0.86,5.64,,,,,,,,,,,,
20:10:36:496,760,13877236,0.88,0.89,13.35,,,,,,,,,,,,
20:10:36:499,770,13879891,0.9,0.9,2.45,,,,,,,,,,,,
20:10:36:501,780,13882506,0.9,0.89,-8.2,,,,,,,,,,,,
20:10:36:504,790,13885126,0.9,0.89,-2.43,,,,,,,,,,,,
20:10:36:507,800,13887751,0.9,0.92,11.89,,,,,,,,,,,,
20:10:36:509,810,13890327,0.94,0.96,16.37,,,,,,,,,,,,
20:10:36:512,820,13892803,0.96,0.97,7.08,,,,,,,,,,,,
20:10:36:514,830,13895240,0.97,0.97,-2.04,,,,,,,,,,,,
20:10:36:517,840,13897668,0.97,0.97,1.04,,,,,,,,,,,,
20:10:36:519,850,13900080,0.99,1,11.01,,,,,,,,,,,,
20:10:36:522,860,13902448,1.01,1.03,18.03,,,,,,,,,,,,
20:10:36:525,870,13904747,1.04,1.04,5.13,,,,,,,,,,,,
20:10:36:527,880,13906997,1.05,1.06,6.61,,,,,,,,,,,,
20:10:36:530,890,13909219,1.07,1.07,1.4,,,,,,,,,,,,
20:10:36:532,900,13911403,1.09,1.1,13.22,,,,,,,,,,,,
20:10:36:535,910,13913551,1.12,1.13,12.81,,,,,,,,,,,,
20:10:36:537,920,13915639,1.15,1.16,12.19,,,,,,,,,,,,
20:10:36:540,930,13917668,1.18,1.19,13.2,,,,,,,,,,,,
20:10:36:543,940,13919649,1.2,1.21,11.76,,,,,,,,,,,,
20:10:36:545,950,13921600,1.22,1.23,12.48,,,,,,,,,,,,
20:10:36:548,960,13923512,1.25,1.24,-6.54,,,,,,,,,,,,
20:10:36:550,970,13925404,1.26,1.26,-4.48,,,,,,,,,,,,
20:10:36:553,980,13927275,1.27,1.27,0,,,,,,,,,,,,
20:10:36:556,990,13929130,1.28,1.29,14.46,,,,,,,,,,,,
20:10:36:558,1000,13930958,1.3,1.31,12.59,,,,,,,,,,,,
20:10:36:561,1010,13932753,1.32,1.32,0,,,,,,,,,,,,
20:10:36:564,1020,13934529,1.31,1.31,-5.09,,,,,,,,,,,,
20:10:36:566,1030,13936329,1.28,1.26,-16.13,,,,,,,,,,,,
20:10:36:569,1040,13938185,1.25,1.23,-21.58,,,,,,,,,,,,
20:10:36:572,1050,13940083,1.23,1.24,10.61,,,,,,,,,,,,
20:10:36:575,1060,13941987,1.23,1.26,32.77,,,,,,,,,,,,
20:10:36:577,1070,13943871,1.28,1.27,-2.34,,,,,,,,,,,,
20:10:36:580,1080,13945715,1.28,1.28,-4.71,,,,,,,,,,,,
20:10:36:583,1090,13947556,1.26,1.25,-13.53,,,,,,,,,,,,
20:10:36:585,1100,13949426,1.24,1.22,-25.26,,,,,,,,,,,,
20:10:36:588,1110,13951346,1.19,1.17,-16.8,,,,,,,,,,,,
20:10:36:591,1120,13953339,1.17,1.16,-5.35,,,,,,,,,,,,
20:10:36:594,1130,13955359,1.16,1.16,7.08,,,,,,,,,,,,
