time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005390,0.0015,-0.0009,-0.0339,0.034
0.006149,0.0015,-0.0009,-0.0339,0.034
0.006622,0.0015,-0.0009,-0.0339,0.034
0.007050,0.0153,-0.0014,-0.0052,0.016
0.015819,0.0153,-0.0014,-0.0052,0.016
0.016584,0.0153,-0.0014,-0.0052,0.016
0.044845,0.0153,-0.0014,-0.0052,0.016
0.045484,-0.0254,0.0118,0.0233,0.036
0.045863,-0.0254,0.0118,0.0233,0.036
0.046197,-0.0254,0.0118,0.0233,0.036
0.046475,-0.0254,0.0118,0.0233,0.036
0.046765,0.0156,-0.0157,0.0379,0.044
0.058687,0.0156,-0.0157,0.0379,0.044
0.059664,0.0156,-0.0157,0.0379,0.044
0.060395,0.0156,-0.0157,0.0379,0.044
0.070903,0.0021,-0.0024,0.0251,0.025
0.071965,0.0021,-0.0024,0.0251,0.025
0.087953,0.0021,-0.0024,0.0251,0.025
0.088998,0.0021,-0.0024,0.0251,0.025
0.090030,0.0021,-0.0024,0.0251,0.025
0.090733,0.0022,-0.0026,-0.0014,0.004
0.105087,0.0022,-0.0026,-0.0014,0.004
0.106248,0.0022,-0.0026,-0.0014,0.004
0.106821,0.0022,-0.0026,-0.0014,0.004
0.111652,0.0023,-0.0029,-0.0144,0.015
0.114948,0.0023,-0.0029,-0.0144,0.015
0.125142,0.0023,-0.0029,-0.0144,0.015
0.126025,0.0023,-0.0029,-0.0144,0.015
0.136654,-0.0112,-0.0167,0.0407,0.045
0.137573,-0.0112,-0.0167,0.0407,0.045
0.154310,-0.0112,-0.0167,0.0407,0.045
0.155254,-0.0112,-0.0167,0.0407,0.045
0.155880,0.0025,-0.0168,0.0275,0.032
0.156475,0.0025,-0.0168,0.0275,0.032
0.172417,0.0025,-0.0168,0.0275,0.032
0.173440,0.0025,-0.0168,0.0275,0.032
0.174139,0.0026,-0.0032,0.0002,0.004
0.174772,0.0026,-0.0032,0.0002,0.004
0.189471,0.0026,-0.0032,0.0002,0.004
0.190492,0.0026,-0.0032,0.0002,0.004
0.191196,-0.0110,-0.0167,0.0271,0.034
0.196088,-0.0110,-0.0167,0.0271,0.034
0.198574,-0.0110,-0.0167,0.0271,0.034
0.211751,-0.0110,-0.0167,0.0271,0.034
0.212256,0.0027,-0.0164,0.0262,0.031
0.213496,0.0027,-0.0164,0.0262,0.031
0.218344,0.0027,-0.0164,0.0262,0.031
0.223384,0.0027,-0.0164,0.0262,0.031
0.228340,0.0163,-0.0024,0.0250,0.030
0.233473,0.0163,-0.0024,0.0250,0.030
0.239566,0.0163,-0.0024,0.0250,0.030
0.243360,0.0163,-0.0024,0.0250,0.030
0.247974,0.0027,-0.0155,0.0235,0.028
0.256193,0.0027,-0.0155,0.0235,0.028
0.257921,0.0027,-0.0155,0.0235,0.028
0.262884,0.0027,-0.0155,0.0235,0.028
0.267805,0.0028,-0.0150,0.0082,0.017
0.273954,0.0028,-0.0150,0.0082,0.017
0.277885,0.0028,-0.0150,0.0082,0.017
0.282799,0.0028,-0.0150,0.0082,0.017
0.293330,0.0163,-0.0009,0.0068,0.018
0.294141,0.0163,-0.0009,0.0068,0.018
0.297468,0.0163,-0.0009,0.0068,0.018
0.309141,0.0163,-0.0009,0.0068,0.018
0.310394,0.0026,-0.0005,0.0192,0.019
0.312259,0.0026,-0.0005,0.0192,0.019
0.317328,0.0026,-0.0005,0.0192,0.019
0.323621,0.0026,-0.0005,0.0192,0.019
0.327623,-0.0111,-0.0137,-0.0092,0.020
0.333070,-0.0111,-0.0137,-0.0092,0.020
0.337981,-0.0111,-0.0137,-0.0092,0.020
0.341937,-0.0111,-0.0137,-0.0092,0.020
0.346870,0.0024,0.0003,-0.0103,0.011
0.351869,0.0024,0.0003,-0.0103,0.011
0.357043,0.0024,0.0003,-0.0103,0.011
0.362067,0.0024,0.0003,-0.0103,0.011
0.366146,-0.0113,0.0006,0.0160,0.020
0.371369,-0.0113,0.0006,0.0160,0.020
0.376467,-0.0113,0.0006,0.0160,0.020
0.381706,-0.0113,0.0006,0.0160,0.020
0.388253,-0.0114,0.0009,0.0016,0.012
0.391166,-0.0114,0.0009,0.0016,0.012
0.396184,-0.0114,0.0009,0.0016,0.012
0.401583,-0.0114,0.0009,0.0016,0.012
0.406225,-0.0114,-0.0125,-0.0128,0.021
0.411037,-0.0114,-0.0125,-0.0128,0.021
0.416331,-0.0114,-0.0125,-0.0128,0.021
0.421862,-0.0114,-0.0125,-0.0128,0.021
0.426221,0.0022,-0.0123,0.0003,0.013
0.430851,0.0022,-0.0123,0.0003,0.013
0.437896,0.0022,-0.0123,0.0003,0.013
0.440594,0.0022,-0.0123,0.0003,0.013
0.445783,0.0022,0.0151,-0.0139,0.021
0.450467,0.0022,0.0151,-0.0139,0.021
0.461458,0.0022,0.0151,-0.0139,0.021
0.462357,0.0022,0.0151,-0.0139,0.021
0.465555,0.0022,0.0151,-0.0139,0.021
0.476630,0.0158,-0.0257,-0.0005,0.030
0.477264,0.0158,-0.0257,-0.0005,0.030
0.480239,0.0158,-0.0257,-0.0005,0.030
0.487870,0.0158,-0.0257,-0.0005,0.030
0.490126,0.0021,0.0015,-0.0141,0.014
0.494962,0.0021,0.0015,-0.0141,0.014
0.499975,0.0021,0.0015,-0.0141,0.014
0.505315,0.0021,0.0015,-0.0141,0.014
0.509939,0.0021,0.0152,-0.0005,0.015
0.514822,0.0021,0.0152,-0.0005,0.015
0.520906,0.0021,0.0152,-0.0005,0.015
0.524522,0.0021,0.0152,-0.0005,0.015
0.529708,0.0021,0.0014,-0.0138,0.014
0.534862,0.0021,0.0014,-0.0138,0.014
0.541971,0.0021,0.0014,-0.0138,0.014
0.544151,0.0021,0.0014,-0.0138,0.014
0.548963,0.0158,-0.0123,0.0137,0.024
0.554927,0.0158,-0.0123,0.0137,0.024
0.559384,0.0158,-0.0123,0.0137,0.024
0.563952,0.0158,-0.0123,0.0137,0.024
0.571687,0.0158,0.0012,-0.0132,0.021
0.573937,0.0158,0.0012,-0.0132,0.021
0.578796,0.0158,0.0012,-0.0132,0.021
