0,1467174182,0.06,0.1,3.42,,,,,,,,,,,
10,1467204629,0.15,0.17,4.23,,,,,,,,,,,
20,1467218694,0.22,0.21,-0.26,,,,,,,,,,,
30,1467229371,0.25,0.26,2.68,,,,,,Pulso,Inicial:,20,Pulso,Propulsiva:,1504
40,1467238322,0.29,0.3,3.77,,,,,,,,,,,
50,1467246244,0.32,0.34,5.07,,,,,,Recorrido:,35.51,,,,
60,1467253368,0.35,0.36,5.08,,,,,,Velocidad,Media:,0.68,,,
70,1467259871,0.38,0.38,-0.49,,,,,,Velocidad,Propulsiva:,0.7,,,
80,1467266038,0.4,0.41,5.23,,,,,,Velocidad,Máxima:,1.12,,,
90,1467271753,0.44,0.44,2.04,,,,,,,,,,,
100,1467277074,0.46,0.47,2.14,,,,,,,,,,,
110,1467282134,0.47,0.49,5.71,,,,,,,,,,,
120,1467287011,0.5,0.51,6.85,,,,,,,,,,,
130,1467291666,0.52,0.53,4.42,,,,,,,,,,,
140,1467296118,0.54,0.55,3.72,,,,,,,,,,,
150,1467300401,0.56,0.56,1.61,,,,,,,,,,,
160,1467304570,0.57,0.58,4.1,,,,,,,,,,,
170,1467308641,0.59,0.59,2.33,,,,,,,,,,,
180,1467312613,0.6,0.6,2.45,,,,,,,,,,,
190,1467316518,0.62,0.63,5.49,,,,,,,,,,,
200,1467320267,0.64,0.65,4.57,,,,,,,,,,,
210,1467323893,0.66,0.68,8.82,,,,,,,,,,,
220,1467327397,0.69,0.7,10.22,,,,,,,,,,,
230,1467330773,0.71,0.72,6.29,,,,,,,,,,,
240,1467334043,0.73,0.74,5.4,,,,,,,,,,,
250,1467337233,0.75,0.75,3.84,,,,,,,,,,,
260,1467340352,0.76,0.75,-8.39,,,,,,,,,,,
270,1467343472,0.72,0.71,-9.79,,,,,,,,,,,
280,1467346759,0.75,0.79,32.64,,,,,,,,,,,
290,1467349789,0.83,0.85,17.54,,,,,,,,,,,
300,1467352577,0.85,0.86,5.71,,,,,,,,,,,
310,1467355319,0.86,0.86,-2.16,,,,,,,,,,,
