time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003399,0.0031,-0.0005,0.0153,0.016
0.004260,0.0031,-0.0005,0.0153,0.016
0.004771,0.0030,-0.0006,0.0018,0.004
0.007209,0.0030,-0.0006,0.0018,0.004
0.020519,0.0030,-0.0006,0.0018,0.004
0.021468,0.0030,-0.0006,0.0018,0.004
0.022016,0.0029,-0.0142,0.0018,0.015
0.035024,0.0029,-0.0142,0.0018,0.015
0.035526,0.0029,-0.0142,0.0018,0.015
0.036582,0.0029,-0.0142,0.0018,0.015
0.041633,0.0028,0.0130,-0.0117,0.018
0.046957,0.0028,0.0130,-0.0117,0.018
0.051387,0.0028,0.0130,-0.0117,0.018
0.057956,0.0028,0.0130,-0.0117,0.018
0.061448,-0.0245,0.0266,-0.0117,0.038
0.066412,-0.0245,0.0266,-0.0117,0.038
0.075487,-0.0245,0.0266,-0.0117,0.038
0.076395,-0.0245,0.0266,-0.0117,0.038
0.081071,-0.0246,-0.0006,0.0156,0.029
0.086127,-0.0246,-0.0006,0.0156,0.029
0.091034,-0.0246,-0.0006,0.0156,0.029
0.096186,-0.0246,-0.0006,0.0156,0.029
0.100898,0.0027,-0.0006,-0.0116,0.012
0.108243,0.0027,-0.0006,-0.0116,0.012
0.110654,0.0027,-0.0006,-0.0116,0.012
0.115583,0.0027,-0.0006,-0.0116,0.012
0.120668,0.0027,-0.0006,0.0157,0.016
0.132320,0.0027,-0.0006,0.0157,0.016
0.133178,0.0027,-0.0006,0.0157,0.016
0.135417,0.0027,-0.0006,0.0157,0.016
0.147553,0.0163,-0.0006,0.0156,0.023
0.148164,0.0163,-0.0006,0.0156,0.023
0.150713,0.0163,-0.0006,0.0156,0.023
0.158736,0.0163,-0.0006,0.0156,0.023
0.160253,0.0162,-0.0006,0.0156,0.022
0.165145,0.0162,-0.0006,0.0156,0.022
0.170529,0.0162,-0.0006,0.0156,0.022
0.175548,0.0162,-0.0006,0.0156,0.022
0.180445,-0.0110,-0.0414,0.0290,0.052
0.185279,-0.0110,-0.0414,0.0290,0.052
0.190867,-0.0110,-0.0414,0.0290,0.052
0.194732,-0.0110,-0.0414,0.0290,0.052
0.199826,-0.0110,-0.0005,0.0424,0.044
0.207817,-0.0110,-0.0005,0.0424,0.044
0.209419,-0.0110,-0.0005,0.0424,0.044
0.214224,-0.0110,-0.0005,0.0424,0.044
0.219239,0.0027,-0.0140,0.0147,0.020
0.232038,0.0027,-0.0140,0.0147,0.020
0.232848,0.0027,-0.0140,0.0147,0.020
0.234069,0.0027,-0.0140,0.0147,0.020
0.247860,0.0027,0.0134,0.0140,0.020
0.248329,0.0027,0.0134,0.0140,0.020
0.248932,0.0027,0.0134,0.0140,0.020
0.257191,0.0027,0.0134,0.0140,0.020
0.259266,0.0028,-0.0000,-0.0003,0.003
0.263878,0.0028,-0.0000,-0.0003,0.003
0.268642,0.0028,-0.0000,-0.0003,0.003
0.274322,0.0028,-0.0000,-0.0003,0.003
0.278671,-0.0107,0.0138,-0.0012,0.018
0.283874,-0.0107,0.0138,-0.0012,0.018
0.291311,-0.0107,0.0138,-0.0012,0.018
0.293488,-0.0107,0.0138,-0.0012,0.018
0.298369,0.0166,0.0141,0.0115,0.025
0.303463,0.0166,0.0141,0.0115,0.025
0.308206,0.0166,0.0141,0.0115,0.025
0.313133,0.0166,0.0141,0.0115,0.025
0.318384,0.0166,0.0141,0.0115,0.025
0.331069,-0.0106,0.0007,0.0105,0.015
0.331962,-0.0106,0.0007,0.0105,0.015
0.332895,-0.0106,0.0007,0.0105,0.015
0.347999,-0.0106,0.0007,0.0105,0.015
0.348575,0.0031,0.0145,-0.0176,0.023
0.348866,0.0031,0.0145,-0.0176,0.023
0.352967,0.0031,0.0145,-0.0176,0.023
0.357725,0.0031,0.0145,-0.0176,0.023
0.362574,0.0031,-0.0125,0.0089,0.016
0.367491,0.0031,-0.0125,0.0089,0.016
0.373232,0.0031,-0.0125,0.0089,0.016
0.377517,0.0031,-0.0125,0.0089,0.016
0.382735,0.0031,0.0013,-0.0054,0.006
0.390125,0.0031,0.0013,-0.0054,0.006
0.392259,0.0031,0.0013,-0.0054,0.006
0.397175,0.0031,0.0013,-0.0054,0.006
0.401952,0.0031,-0.0122,0.0076,0.015
0.407030,0.0031,-0.0122,0.0076,0.015
0.413258,0.0031,-0.0122,0.0076,0.015
0.416797,0.0031,-0.0122,0.0076,0.015
0.427157,-0.0106,0.0016,-0.0065,0.012
0.428216,-0.0106,0.0016,-0.0065,0.012
0.431518,-0.0106,0.0016,-0.0065,0.012
0.442371,-0.0106,0.0016,-0.0065,0.012
0.442895,-0.0105,0.0016,-0.0068,0.013
0.447329,-0.0105,0.0016,-0.0068,0.013
0.451462,-0.0105,0.0016,-0.0068,0.013
0.460058,-0.0105,0.0016,-0.0068,0.013
0.461149,0.0031,-0.0119,0.0066,0.014
0.466008,0.0031,-0.0119,0.0066,0.014
0.473855,0.0031,-0.0119,0.0066,0.014
0.476132,0.0031,-0.0119,0.0066,0.014
0.481095,-0.0105,0.0017,0.0066,0.013
0.485972,-0.0105,0.0017,0.0066,0.013
0.491058,-0.0105,0.0017,0.0066,0.013
0.495701,-0.0105,0.0017,0.0066,0.013
0.500918,-0.0105,0.0017,-0.0205,0.023
0.507001,-0.0105,0.0017,-0.0205,0.023
0.510889,-0.0105,0.0017,-0.0205,0.023
0.515702,-0.0105,0.0017,-0.0205,0.023
0.529603,0.0032,0.0152,-0.0202,0.026
0.530414,0.0032,0.0152,-0.0202,0.026
0.530959,0.0032,0.0152,-0.0202,0.026
0.535271,0.0032,0.0152,-0.0202,0.026
0.544176,0.0033,0.0015,-0.0198,0.020
0.545273,0.0033,0.0015,-0.0198,0.020
0.550284,0.0033,0.0015,-0.0198,0.020
0.556390,0.0033,0.0015,-0.0198,0.020
0.559953,0.0170,0.0150,0.0079,0.024
0.564989,0.0170,0.0150,0.0079,0.024
0.572646,0.0170,0.0150,0.0079,0.024
0.574708,0.0170,0.0150,0.0079,0.024
0.579709,-0.0102,0.0013,0.0082,0.013
0.585211,-0.0102,0.0013,0.0082,0.013
0.590133,-0.0102,0.0013,0.0082,0.013
0.594744,-0.0102,0.0013,0.0082,0.013
0.598986,0.0035,0.0148,0.0085,0.017
0.606626,0.0035,0.0148,0.0085,0.017
0.609270,0.0035,0.0148,0.0085,0.017
0.614217,0.0035,0.0148,0.0085,0.017
0.626522,0.0036,0.0148,0.0223,0.027
0.627383,0.0036,0.0148,0.0223,0.027
0.629001,0.0036,0.0148,0.0223,0.027
0.634076,0.0036,0.0148,0.0223,0.027
0.641962,0.0037,0.0011,-0.0456,0.046
0.644385,0.0037,0.0011,-0.0456,0.046
0.648829,0.0037,0.0011,-0.0456,0.046
0.657014,0.0037,0.0011,-0.0456,0.046
0.658724,0.0037,-0.0126,0.0091,0.016
0.663758,0.0037,-0.0126,0.0091,0.016
0.668889,0.0037,-0.0126,0.0091,0.016
0.673802,0.0037,-0.0126,0.0091,0.016
0.678532,-0.0098,0.0010,-0.0315,0.033
0.683411,-0.0098,0.0010,-0.0315,0.033
0.689696,-0.0098,0.0010,-0.0315,0.033
0.693368,-0.0098,0.0010,-0.0315,0.033
0.698426,-0.0098,0.0010,-0.0315,0.033
0.705971,0.0038,0.0962,-0.1399,0.170
0.708023,0.0038,0.0962,-0.1399,0.170
0.713017,0.0038,0.0962,-0.1399,0.170
0.718522,0.0038,0.0962,-0.1399,0.170
0.732730,-0.0097,-0.1355,0.3236,0.351
0.733426,-0.0097,-0.1355,0.3236,0.351
0.733888,-0.0097,-0.1355,0.3236,0.351
0.748170,-0.0097,-0.1355,0.3236,0.351
0.748637,0.0311,0.2593,-0.6016,0.656
0.748902,0.0311,0.2593,-0.6016,0.656
0.754695,0.0311,0.2593,-0.6016,0.656
0.757714,0.0311,0.2593,-0.6016,0.656
0.762248,-0.0097,-0.0680,0.1625,0.176
0.767152,-0.0097,-0.0680,0.1625,0.176
0.772342,-0.0097,-0.0680,0.1625,0.176
0.777204,-0.0097,-0.0680,0.1625,0.176
0.782008,-0.0234,-0.0275,0.0957,0.102
0.790850,-0.0234,-0.0275,0.0957,0.102
0.792006,-0.0234,-0.0275,0.0957,0.102
0.804631,-0.0234,-0.0275,0.0957,0.102
0.805522,0.0583,0.1081,-0.2425,0.272
0.810212,0.0583,0.1081,-0.2425,0.272
0.811771,0.0583,0.1081,-0.2425,0.272
0.816651,0.0583,0.1081,-0.2425,0.272
0.828104,-0.0099,-0.1238,0.3040,0.328
0.828907,-0.0099,-0.1238,0.3040,0.328
0.831391,-0.0099,-0.1238,0.3040,0.328
0.841589,-0.0099,-0.1238,0.3040,0.328
0.842104,-0.0100,0.0528,-0.1166,0.128
0.846541,-0.0100,0.0528,-0.1166,0.128
0.851262,-0.0100,0.0528,-0.1166,0.128
0.856441,-0.0100,0.0528,-0.1166,0.128
0.861152,0.0171,0.0115,-0.0468,0.051
0.866321,0.0171,0.0115,-0.0468,0.051
0.872718,0.0171,0.0115,-0.0468,0.051
0.875977,0.0171,0.0115,-0.0468,0.051
0.880729,0.0033,-0.0161,0.0501,0.053
0.890586,0.0033,-0.0161,0.0501,0.053
0.891675,0.0033,-0.0161,0.0501,0.053
0.895850,0.0033,-0.0161,0.0501,0.053
0.901087,0.0032,0.0515,-0.1115,0.123
0.906079,0.0032,0.0515,-0.1115,0.123
0.910356,0.0032,0.0515,-0.1115,0.123
0.915511,0.0032,0.0515,-0.1115,0.123
0.927903,0.0029,0.0374,-0.0415,0.056
0.928727,0.0029,0.0374,-0.0415,0.056
0.932135,0.0029,0.0374,-0.0415,0.056
0.942646,0.0029,0.0374,-0.0415,0.056
0.943157,-0.0109,-0.0039,0.0011,0.012
0.945231,-0.0109,-0.0039,0.0011,0.012
0.950228,-0.0109,-0.0039,0.0011,0.012
0.955035,-0.0109,-0.0039,0.0011,0.012
0.961254,0.0025,-0.0044,0.0302,0.031
0.964786,0.0025,-0.0044,0.0302,0.031
0.971814,0.0025,-0.0044,0.0302,0.031
0.974454,0.0025,-0.0044,0.0302,0.031
0.979911,-0.0113,-0.0047,-0.0503,0.052
0.984764,-0.0113,-0.0047,-0.0503,0.052
0.989953,-0.0113,-0.0047,-0.0503,0.052
0.994212,-0.0113,-0.0047,-0.0503,0.052
0.999069,0.0022,-0.0050,0.0189,0.020
1.005304,0.0022,-0.0050,0.0189,0.020
1.009672,0.0022,-0.0050,0.0189,0.020
1.014058,0.0022,-0.0050,0.0189,0.020
1.026161,0.0020,-0.0188,0.0470,0.051
1.027076,0.0020,-0.0188,0.0470,0.051
1.030793,0.0020,-0.0188,0.0470,0.051
1.033905,0.0020,-0.0188,0.0470,0.051
1.039857,0.0155,0.0219,-0.0613,0.067
1.044144,0.0155,0.0219,-0.0613,0.067
1.048980,0.0155,0.0219,-0.0613,0.067
1.054686,0.0155,0.0219,-0.0613,0.067
1.058893,0.0018,-0.0192,0.0210,0.029
1.063511,0.0018,-0.0192,0.0210,0.029
1.071979,0.0018,-0.0192,0.0210,0.029
1.073178,0.0018,-0.0192,0.0210,0.029
1.078236,0.0018,-0.0192,0.0210,0.029
1.083186,-0.0120,0.0079,0.0217,0.026
1.088268,-0.0120,0.0079,0.0217,0.026
