time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:38:09:2039,-0.0502,0.0282,-0.2904,0.296
19:38:09:2039,-0.0502,0.0282,-0.2904,0.296
19:38:09:2050,-0.0502,0.0282,-0.2904,0.296
19:38:09:2060,-0.0502,0.0282,-0.2904,0.296
19:38:09:2170,0.0177,-0.0279,-0.0710,0.078
19:38:09:2180,0.0177,-0.0279,-0.0710,0.078
19:38:09:2230,0.0177,-0.0279,-0.0710,0.078
19:38:09:2250,0.0177,-0.0279,-0.0710,0.078
19:38:09:2310,-0.0235,-0.0840,-0.0285,0.092
19:38:09:2350,-0.0235,-0.0840,-0.0285,0.092
19:38:09:2400,-0.0235,-0.0840,-0.0285,0.092
19:38:09:2450,-0.0235,-0.0840,-0.0285,0.092
19:38:09:2560,0.0034,-0.1127,0.0138,0.114
19:38:09:2570,0.0034,-0.1127,0.0138,0.114
19:38:09:2600,0.0034,-0.1127,0.0138,0.114
19:38:09:2650,0.0034,-0.1127,0.0138,0.114
19:38:09:2710,0.0029,0.0622,-0.3927,0.398
19:38:09:2740,0.0029,0.0622,-0.3927,0.398
19:38:09:2810,0.0029,0.0622,-0.3927,0.398
19:38:09:2849,0.0029,0.0622,-0.3927,0.398
19:38:09:2900,0.0023,0.0049,-0.2129,0.213
19:38:09:2950,0.0023,0.0049,-0.2129,0.213
19:38:09:2990,0.0023,0.0049,-0.2129,0.213
19:38:09:3050,0.0023,0.0049,-0.2129,0.213
19:38:09:3090,0.0016,-0.0525,-0.1692,0.177
19:38:09:3150,0.0016,-0.0525,-0.1692,0.177
19:38:09:3190,0.0016,-0.0525,-0.1692,0.177
19:38:09:3240,0.0016,-0.0525,-0.1692,0.177
19:38:09:3290,-0.0127,-0.0956,-0.0171,0.098
19:38:09:3340,-0.0127,-0.0956,-0.0171,0.098
19:38:09:3390,-0.0127,-0.0956,-0.0171,0.098
19:38:09:3439,-0.0127,-0.0956,-0.0171,0.098
19:38:09:3600,0.0003,-0.0567,-0.0561,0.080
19:38:09:3610,0.0003,-0.0567,-0.0561,0.080
19:38:09:3610,0.0003,-0.0567,-0.0561,0.080
19:38:09:3640,0.0003,-0.0567,-0.0561,0.080
19:38:09:3680,-0.0411,-0.0176,-0.0816,0.093
19:38:09:3730,-0.0411,-0.0176,-0.0816,0.093
19:38:09:3780,-0.0411,-0.0176,-0.0816,0.093
19:38:09:3840,-0.0411,-0.0176,-0.0816,0.093
19:38:09:3890,-0.0007,-0.0467,-0.0390,0.061
19:38:09:3930,-0.0007,-0.0467,-0.0390,0.061
19:38:09:3980,-0.0007,-0.0467,-0.0390,0.061
19:38:09:4030,-0.0007,-0.0467,-0.0390,0.061
