time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
19:40:38:8800,0.0400,-0.0922,-0.0756,0.126
19:40:38:8810,0.0400,-0.0922,-0.0756,0.126
19:40:38:8820,0.0400,-0.0922,-0.0756,0.126
19:40:38:8830,-0.0007,-0.0900,-0.0907,0.128
19:40:38:8850,-0.0007,-0.0900,-0.0907,0.128
19:40:38:8930,-0.0007,-0.0900,-0.0907,0.128
19:40:38:8950,-0.0007,-0.0900,-0.0907,0.128
19:40:38:9040,-0.0141,-0.1149,-0.0651,0.133
19:40:38:9040,-0.0141,-0.1149,-0.0651,0.133
19:40:38:9090,-0.0141,-0.1149,-0.0651,0.133
19:40:38:9150,-0.0141,-0.1149,-0.0651,0.133
19:40:38:9200,-0.0002,-0.0581,-0.1756,0.185
19:40:38:9250,-0.0002,-0.0581,-0.1756,0.185
19:40:38:9310,-0.0002,-0.0581,-0.1756,0.185
19:40:38:9350,-0.0002,-0.0581,-0.1756,0.185
19:40:38:9400,0.0000,-0.0697,-0.1634,0.178
19:40:38:9450,0.0000,-0.0697,-0.1634,0.178
19:40:38:9490,0.0000,-0.0697,-0.1634,0.178
19:40:38:9540,0.0000,-0.0697,-0.1634,0.178
19:40:38:9590,0.0000,-0.0697,-0.1634,0.178
19:40:38:9740,0.0003,-0.0814,-0.0558,0.099
19:40:38:9750,0.0003,-0.0814,-0.0558,0.099
19:40:38:9750,0.0003,-0.0814,-0.0558,0.099
19:40:38:9820,0.0003,-0.0814,-0.0558,0.099
19:40:38:9840,-0.0128,-0.0799,-0.0432,0.092
19:40:38:9890,-0.0128,-0.0799,-0.0432,0.092
19:40:38:9940,-0.0128,-0.0799,-0.0432,0.092
19:40:38:9990,-0.0128,-0.0799,-0.0432,0.092
19:40:39:0040,-0.0120,-0.0920,-0.0987,0.135
19:40:39:0090,-0.0120,-0.0920,-0.0987,0.135
19:40:39:0130,-0.0120,-0.0920,-0.0987,0.135
19:40:39:0190,-0.0120,-0.0920,-0.0987,0.135
19:40:39:0230,-0.0247,-0.0771,-0.1133,0.139
19:40:39:0310,-0.0247,-0.0771,-0.1133,0.139
19:40:39:0330,-0.0247,-0.0771,-0.1133,0.139
19:40:39:0380,-0.0247,-0.0771,-0.1133,0.139
19:40:39:0429,-0.0102,-0.1029,-0.0734,0.127
19:40:39:0480,-0.0102,-0.1029,-0.0734,0.127
19:40:39:0530,-0.0102,-0.1029,-0.0734,0.127
19:40:39:0580,-0.0102,-0.1029,-0.0734,0.127
19:40:39:0630,-0.0091,-0.1150,-0.0745,0.137
19:40:39:0670,-0.0091,-0.1150,-0.0745,0.137
19:40:39:0720,-0.0091,-0.1150,-0.0745,0.137
19:40:39:0770,-0.0091,-0.1150,-0.0745,0.137
19:40:39:0820,0.0050,-0.0729,-0.1162,0.137
19:40:39:0869,0.0050,-0.0729,-0.1162,0.137
19:40:39:0920,0.0050,-0.0729,-0.1162,0.137
19:40:39:1100,0.0050,-0.0729,-0.1162,0.137
19:40:39:1110,-0.0083,-0.0447,-0.1441,0.151
19:40:39:1120,-0.0083,-0.0447,-0.1441,0.151
19:40:39:1120,-0.0083,-0.0447,-0.1441,0.151
19:40:39:1170,-0.0083,-0.0447,-0.1441,0.151
19:40:39:1220,0.0055,-0.0305,-0.0901,0.095
19:40:39:1270,0.0055,-0.0305,-0.0901,0.095
19:40:39:1320,0.0055,-0.0305,-0.0901,0.095
19:40:39:1360,0.0055,-0.0305,-0.0901,0.095
19:40:39:1409,0.0057,-0.0709,-0.0903,0.115
19:40:39:1470,0.0057,-0.0709,-0.0903,0.115
19:40:39:1510,0.0057,-0.0709,-0.0903,0.115
19:40:39:1560,0.0057,-0.0709,-0.0903,0.115
19:40:39:1630,-0.0078,-0.0297,-0.1178,0.122
19:40:39:1660,-0.0078,-0.0297,-0.1178,0.122
19:40:39:1710,-0.0078,-0.0297,-0.1178,0.122
19:40:39:1760,-0.0078,-0.0297,-0.1178,0.122
19:40:39:1810,0.0060,-0.0158,-0.1316,0.133
19:40:39:1860,0.0060,-0.0158,-0.1316,0.133
19:40:39:1910,0.0060,-0.0158,-0.1316,0.133
19:40:39:1960,0.0060,-0.0158,-0.1316,0.133
19:40:39:2010,-0.0211,-0.0295,-0.1179,0.123
19:40:39:2060,-0.0211,-0.0295,-0.1179,0.123
19:40:39:2110,-0.0211,-0.0295,-0.1179,0.123
19:40:39:2160,-0.0211,-0.0295,-0.1179,0.123
19:40:39:2210,-0.0074,-0.0301,-0.1175,0.122
19:40:39:2250,-0.0074,-0.0301,-0.1175,0.122
19:40:39:2430,-0.0074,-0.0301,-0.1175,0.122
19:40:39:2440,-0.0074,-0.0301,-0.1175,0.122
19:40:39:2450,-0.0073,-0.0312,-0.1168,0.121
19:40:39:2460,-0.0073,-0.0312,-0.1168,0.121
19:40:39:2500,-0.0073,-0.0312,-0.1168,0.121
19:40:39:2550,-0.0073,-0.0312,-0.1168,0.121
19:40:39:2600,0.0064,-0.0324,-0.0888,0.095
19:40:39:2650,0.0064,-0.0324,-0.0888,0.095
19:40:39:2700,0.0064,-0.0324,-0.0888,0.095
19:40:39:2750,0.0064,-0.0324,-0.0888,0.095
19:40:39:2800,0.0201,-0.0476,-0.1013,0.114
19:40:39:2849,0.0201,-0.0476,-0.1013,0.114
19:40:39:2900,0.0201,-0.0476,-0.1013,0.114
19:40:39:2960,0.0201,-0.0476,-0.1013,0.114
19:40:39:3000,0.0064,-0.0629,-0.1002,0.118
19:40:39:3050,0.0064,-0.0629,-0.1002,0.118
19:40:39:3100,0.0064,-0.0629,-0.1002,0.118
19:40:39:3150,0.0064,-0.0629,-0.1002,0.118
19:40:39:3190,0.0064,-0.0646,-0.1126,0.130
19:40:39:3240,0.0064,-0.0646,-0.1126,0.130
19:40:39:3290,0.0064,-0.0646,-0.1126,0.130
19:40:39:3350,0.0064,-0.0646,-0.1126,0.130
19:40:39:3400,0.0064,-0.0646,-0.1126,0.130
19:40:39:3469,0.0062,-0.0662,-0.0979,0.118
19:40:39:3489,0.0062,-0.0662,-0.0979,0.118
19:40:39:3540,0.0062,-0.0662,-0.0979,0.118
19:40:39:3590,0.0062,-0.0662,-0.0979,0.118
19:40:39:3640,0.0195,-0.0675,-0.0970,0.120
19:40:39:3690,0.0195,-0.0675,-0.0970,0.120
19:40:39:3740,0.0195,-0.0675,-0.0970,0.120
19:40:39:3920,0.0195,-0.0675,-0.0970,0.120
19:40:39:3930,0.0054,-0.0824,-0.0825,0.117
19:40:39:3930,0.0054,-0.0824,-0.0825,0.117
19:40:39:3940,0.0054,-0.0824,-0.0825,0.117
19:40:39:3990,0.0054,-0.0824,-0.0825,0.117
19:40:39:4030,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4079,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4130,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4190,-0.0087,-0.0698,-0.1226,0.141
19:40:39:4230,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4290,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4330,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4380,-0.0090,-0.0707,-0.0811,0.108
19:40:39:4430,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4480,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4530,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4580,-0.0094,-0.0578,-0.0670,0.089
19:40:39:4630,0.0173,-0.0446,-0.0803,0.094
