19:42:43:629,0.02,0.01,-0.07,,,,,,,,
19:42:43:632,0.07,0.09,2.08,,,,,,,,
19:42:43:635,0.12,0.15,3.25,,,,,,,,
19:42:43:637,0.17,0.2,6.45,,,,,,,,
19:42:43:640,0.22,0.23,2.98,,,,,,,,
19:42:43:642,0.24,0.26,5.28,,,,,,,,
19:42:43:645,0.27,0.28,2.05,,,,,,,,
19:42:43:648,0.3,0.3,-1.94,,,,,,,,
19:42:43:650,0.3,0.32,7.46,,,,,,,,
19:42:43:653,0.32,0.33,4.09,,,,,,,,
19:42:43:656,0.38,0.38,-2.21,,,,,,,,
19:42:43:658,0.39,0.4,7.53,,,,,,,,
19:42:43:661,0.42,0.43,6.88,,,,,,,,
19:42:43:664,0.46,0.47,6.9,,,,,,,,
19:42:43:666,0.49,0.51,7.79,,,,,,,,
19:42:43:669,0.52,0.52,2.87,,,,19:42:44:022,30,Pulso,Propulsiva:,1374
19:42:43:672,0.53,0.54,6.16,,,,19:42:44:022,,,,
19:42:43:674,0.54,0.56,8.11,,,,19:42:44:024,,,,
19:42:43:677,0.57,0.58,2.98,,,,19:42:44:026,0.64,,,
19:42:43:680,0.59,0.6,6.72,,,,19:42:44:028,0.68,,,
19:42:43:683,0.62,0.63,8.16,,,,19:42:44:031,1.16,,,
19:42:43:685,0.64,0.65,5.94,,,,,,,,
19:42:43:688,0.66,0.67,7.05,,,,,,,,
19:42:43:691,0.68,0.69,7.78,,,,,,,,
19:42:43:693,0.7,0.71,7.97,,,,,,,,
19:42:43:696,0.72,0.73,3.04,,,,,,,,
19:42:43:699,0.74,0.75,3.72,,,,,,,,
19:42:43:701,0.77,0.76,-1.52,,,,,,,,
19:42:43:704,0.78,0.79,9.22,,,,,,,,
19:42:43:707,0.81,0.83,17.51,,,,,,,,
19:42:43:710,0.85,0.87,15.12,,,,,,,,
19:42:43:712,0.89,0.9,9.65,,,,,,,,
19:42:43:715,0.9,0.9,2.47,,,,,,,,
19:42:43:718,0.91,0.92,2.6,,,,,,,,
19:42:43:721,0.93,0.94,13,,,,,,,,
19:42:43:723,0.96,0.97,11.27,,,,,,,,
19:42:43:726,0.99,0.99,0,,,,,,,,
19:42:43:729,0.99,0.99,-1.12,,,,,,,,
19:42:43:732,0.99,0.98,-8.6,,,,,,,,
19:42:43:734,0.98,0.98,-1.06,,,,,,,,
19:42:43:737,0.98,0.98,2.11,,,,,,,,
19:42:43:740,0.99,0.99,-7.68,,,,,,,,
19:42:43:743,0.99,0.98,-7.63,,,,,,,,
19:42:43:745,0.98,0.97,-8.42,,,,,,,,
19:42:43:748,0.96,0.96,8.01,,,,,,,,
19:42:43:751,0.95,0.94,-6.67,,,,,,,,
19:42:43:754,0.96,0.98,22.78,,,,,,,,
19:42:43:756,1,1,2.29,,,,,,,,
19:42:43:759,1.01,1.02,5.89,,,,,,,,
19:42:43:762,1.02,1.01,-5.87,,,,,,,,
19:42:43:765,1.01,0.99,-11.35,,,,,,,,
19:42:43:767,0.98,0.98,0,,,,,,,,
19:42:43:770,0.98,0.97,-5.26,,,,,,,,
19:42:43:773,0.96,0.96,-5.04,,,,,,,,
19:42:43:776,0.95,0.95,-3.87,,,,,,,,
19:42:43:779,0.94,0.94,-2.83,,,,,,,,
19:42:43:781,0.93,0.92,-10.85,,,,,,,,
19:42:43:784,0.91,0.9,-7.52,,,,,,,,
19:42:43:787,0.89,0.88,-4.72,,,,,,,,
19:42:43:790,0.88,0.88,2.32,,,,,,,,
19:42:43:792,0.87,0.87,-5.2,,,,,,,,
19:42:43:795,0.87,0.85,-18.5,,,,,,,,
19:42:43:798,0.84,0.83,-7.99,,,,,,,,
19:42:43:801,0.83,0.84,4.6,,,,,,,,
19:42:43:803,0.83,0.83,-1.29,,,,,,,,
19:42:43:806,0.83,0.85,13.41,,,,,,,,
19:42:43:809,0.85,0.86,8.5,,,,,,,,
19:42:43:812,0.87,0.88,8.35,,,,,,,,
19:42:43:814,0.88,0.88,2.31,,,,,,,,
19:42:43:817,0.89,0.89,-3.19,,,,,,,,
19:42:43:820,0.9,0.9,2.45,,,,,,,,
19:42:43:822,0.9,0.9,0.82,,,,,,,,
19:42:43:825,0.9,0.9,-4.12,,,,,,,,
19:42:43:828,0.9,0.9,-0.82,,,,,,,,
19:42:43:832,0.9,0.9,0.83,,,,,,,,
19:42:43:833,0.91,0.92,7.73,,,,,,,,
19:42:43:836,0.92,0.92,5.28,,,,,,,,
19:42:43:839,0.93,0.92,-2.67,,,,,,,,
19:42:43:842,0.92,0.92,0.88,,,,,,,,
19:42:43:844,0.93,0.94,16.65,,,,,,,,
19:42:43:847,0.96,0.97,10.23,,,,,,,,
19:42:43:850,1,1.01,10.25,,,,,,,,
19:42:43:853,1.02,1.02,2.39,,,,,,,,
19:42:43:855,1.03,1.02,-6.09,,,,,,,,
19:42:43:858,1.02,1.03,6.11,,,,,,,,
19:42:43:861,1.03,1.04,5.02,,,,,,,,
19:42:43:863,1.05,1.06,5.34,,,,,,,,
19:42:43:866,1.07,1.08,4.21,,,,,,,,
