encoder_times,encoder_accel,encoder_vel,acelerometer_times,acelerometer_accel
15309316.0,2.76,0.12,15309316,3.05
15326830.0,2.85,0.18,15309316,3.05
15338821.0,6.14,0.22,15309316,3.05
15348778.0,4.23,0.27,15309316,3.05
15357078.0,4.11,0.32,15309316,3.05
15364264.0,-0.44,0.35,15309316,3.05
15370911.0,8.03,0.38,15309316,3.05
15376833.0,1.78,0.41,15309316,3.05
15382501.0,5.3,0.43,15309316,3.05
15387812.0,2.03,0.45,15309316,3.05
15392937.0,2.81,0.47,15309316,3.05
15397921.0,6.04,0.48,15309316,3.05
15402736.0,1.46,0.5,15309316,3.05
15407424.0,9.85,0.49,15309316,3.05
15412079.0,7.82,0.54,15309316,3.05
15416350.0,2.71,0.57,15309316,3.05
15420484.0,6.03,0.56,15309316,3.05
15424581.0,21.27,0.61,15309316,3.05
15428295.0,-1.32,0.66,15309316,3.05
15431855.0,1.26,0.65,15309316,3.05
15435441.0,8.7,0.67,15309316,3.05
15438904.0,1.14,0.7,15309316,3.05
15442269.0,6.76,0.7,15309316,3.05
15445583.0,16.37,0.73,15309316,3.05
15448719.0,22.72,0.79,15309316,3.05
15451631.0,12.32,0.84,15309316,3.05
15454408.0,8.67,0.86,15309316,3.05
15457131.0,9.4,0.88,15309316,3.05
15459777.0,5.12,0.91,15309316,3.05
15462345.0,5.66,0.94,15309316,3.05
15464839.0,6.04,0.96,15309316,3.05
15467274.0,6.54,0.99,15309316,3.05
15469645.0,5.91,1.01,15309316,3.05
15471963.0,3.65,1.02,15309316,3.05
15474253.0,-4.9,1.03,15309316,3.05
15476532.0,3.68,1.03,15309316,3.05
15478822.0,-12.99,1.02,15309316,3.05
15481142.0,9.75,1.02,15309316,3.05
15483435.0,-6.08,1.03,15309316,3.05
15485724.0,4.94,1.03,15309316,3.05
15488007.0,12.43,1.03,15309316,3.05
15490283.0,-3.92,1.05,15309316,3.05
15492528.0,-25.2,1.02,15309316,3.05
15494883.0,33.46,0.98,15309316,3.05
15497226.0,-14.58,1.03,15309316,3.05
15499533.0,7.0,1.01,15309316,3.05
15501861.0,-14.44,1.0,15309316,3.05
15504230.0,1.06,0.98,15309316,3.05
15506635.0,-14.39,0.97,15309316,3.05
15509083.0,-6.7,0.91,15309316,3.05
15511678.0,7.65,0.91,15309316,3.05
15514259.0,-5.05,0.91,15309316,3.05
15516857.0,-10.15,0.89,15309316,3.05
15519518.0,7.12,0.88,15309316,3.05
15522165.0,-6.28,0.89,15309316,3.05
15524822.0,-1.49,0.87,15309316,3.05
15527525.0,-0.73,0.86,15309316,3.05
15530250.0,-3.48,0.85,15309316,3.05
15533007.0,4.32,0.86,15309316,3.05
15535736.0,3.04,0.87,15309316,3.05
15538421.0,2.97,0.87,15309316,3.05
15541120.0,8.59,0.88,15309316,3.05
15543774.0,8.9,0.89,15309316,3.05
15546398.0,9.5,0.91,15309316,3.05
15548968.0,2.6,0.91,15309316,3.05
15551524.0,9.55,0.94,15309316,3.05
15554007.0,0.0,0.94,15309316,3.05
15556500.0,0.0,0.94,15309316,3.05
15558991.0,-5.58,0.94,15309316,3.05
15561504.0,-9.11,0.94,15309316,3.05
15564023.0,9.92,0.95,15309316,3.05
15566475.0,6.18,0.97,15309316,3.05
15568899.0,-12.48,0.93,15309316,3.05
15571433.0,28.87,0.93,15309316,3.05
15573896.0,14.93,1.0,15309316,3.05
15576230.0,5.96,1.01,15309316,3.05
15578542.0,3.45,1.01,15309316,3.05
15580878.0,5.93,1.01,15309316,3.05
15583187.0,19.21,1.03,15309316,3.05
15585435.0,2.73,1.06,15309316,3.05
15587639.0,13.04,1.08,15309316,3.05
15589800.0,0.0,1.1,15309316,3.05
15591947.0,-8.97,1.1,15309316,3.05
15594084.0,6.1,1.1,15309316,3.05
15596208.0,23.05,1.12,15309316,3.05
15598272.0,32.05,1.17,15309316,3.05
15600249.0,31.95,1.22,15309316,3.05
15602146.0,14.09,1.27,15309316,3.05
15603985.0,2.4,1.28,15309316,3.05
15605813.0,-7.2,1.29,15309316,3.05
15607642.0,-4.71,1.28,15309316,3.05
15609482.0,-4.68,1.28,15309316,3.05
15611325.0,-4.69,1.28,15309316,3.05
15613168.0,-4.66,1.28,15309316,3.05
15615013.0,21.42,1.27,15309316,3.05
15616843.0,9.75,1.29,15309316,3.05
15618662.0,-14.28,1.29,15309316,3.05
15620498.0,-4.55,1.27,15309316,3.05
15622361.0,6.72,1.25,15309316,3.05
15624236.0,6.79,1.26,15309316,3.05
15626107.0,-4.59,1.27,15309316,3.05
15627959.0,-2.34,1.27,15309316,3.05
15629805.0,-18.21,1.27,15309316,3.05
15631673.0,-12.47,1.23,15309316,3.05
15633598.0,6.12,1.21,15309316,3.05
15635530.0,-21.38,1.21,15309316,3.05
15637497.0,-10.83,1.17,15309316,3.05
15639517.0,-24.51,1.14,15309316,3.05
15641607.0,-25.76,1.09,15309316,3.05
15643798.0,-3.6,1.02,15309316,3.05
15646101.0,-4.9,1.03,15309316,3.05
15648387.0,-8.51,1.03,15309316,3.05
15650685.0,-4.69,1.02,15309316,3.05
15653006.0,-7.86,1.0,15309316,3.05
15655363.0,-8.71,0.99,15309316,3.05
15657744.0,0.0,0.98,15309316,3.05
15660145.0,-5.1,0.97,15309316,3.05
15662577.0,-4.9,0.96,15309316,3.05
15665044.0,-3.81,0.95,15309316,3.05
15667533.0,-3.75,0.94,15309316,3.05
15670037.0,-6.42,0.94,15309316,3.05
15672552.0,14.44,0.94,15309316,3.05
15675030.0,0.0,0.96,15309316,3.05
15677482.0,-3.93,0.96,15309316,3.05
15679952.0,-22.0,0.93,15309316,3.05
15682520.0,4.95,0.9,15309316,3.05
15685130.0,-4.15,0.9,15309316,3.05
15687740.0,-2.45,0.9,15309316,3.05
15690362.0,-14.18,0.89,15309316,3.05
15693023.0,-10.71,0.86,15309316,3.05
15695760.0,-11.97,0.85,15309316,3.05
15698566.0,0.68,0.84,15309316,3.05
15701362.0,-21.86,0.81,15309316,3.05
15704302.0,13.4,0.79,15309316,3.05
15707222.0,0.66,0.83,15309316,3.05
15710044.0,-8.21,0.83,15309316,3.05
15712899.0,11.2,0.81,15309316,3.05
15715761.0,0.0,0.83,15309316,3.05
15718584.0,-5.21,0.83,15309316,3.05
15721423.0,4.29,0.81,15309316,3.05
15724302.0,8.28,0.82,15309316,3.05
15727145.0,-6.53,0.84,15309316,3.05
15729964.0,-3.89,0.83,15309316,3.05
15732800.0,-7.35,0.82,15309316,3.05
15735685.0,2.4,0.81,15309316,3.05
15738583.0,-1.18,0.81,15309316,3.05
15741497.0,1.77,0.8,15309316,3.05
15744420.0,-10.75,0.8,15309316,3.05
15747393.0,-4.18,0.78,15309316,3.05
15750433.0,-3.6,0.77,15309316,3.05
15753495.0,-7.17,0.76,15309316,3.05
15756643.0,-11.92,0.71,15309316,3.05
15759992.0,-13.13,0.68,15309316,3.05
15763528.0,-8.61,0.65,15309316,3.05
15767221.0,-16.66,0.61,15309316,3.05
15771201.0,-15.48,0.55,15309316,3.05
15775653.0,-9.71,0.5,15309316,3.05
15780531.0,-18.35,0.43,15309316,3.05
